,tweet_id,retweet_count,favorite_count
525,nan,3536,11271
526,nan,2509,8784
527,nan,3007,12595
528,nan,24069,47281
529,nan,6961,0
530,nan,2525,9701
531,nan,4098,14015
532,nan,4288,16236
533,nan,56625,107015
534,nan,8521,0
535,nan,4418,14514
536,nan,37911,75639
537,nan,6426,0
538,nan,2230,5370
539,nan,2752,11363
540,nan,13616,0
541,nan,1388,7145
542,nan,6238,0
543,nan,2209,9178
544,nan,2132,7335
545,nan,9374,0
546,nan,1905,6368
547,nan,2929,9773
548,nan,1972,8680
549,nan,4480,15326
550,nan,2355,6886
551,nan,3712,0
552,nan,18876,49774
553,nan,3220,11203
554,nan,8689,0
555,nan,4828,12270
556,nan,2169,8601
557,nan,6221,0
558,nan,2887,11207
559,nan,2336,10085
560,nan,3403,0
561,nan,1714,7938
562,nan,2926,9959
563,nan,6808,18124
564,nan,1573,7039
565,nan,5247,0
566,nan,3040,10132
567,nan,314,0
568,nan,1992,8608
569,nan,275,1958
570,nan,2391,9141
571,nan,960,6802
572,nan,6961,27386
573,nan,4627,0
574,nan,2429,8992
575,nan,113,778
576,nan,1889,0
577,nan,3214,11701
578,nan,3495,14685
579,nan,2489,10538
580,nan,5068,0
581,nan,3265,12456
582,nan,4581,0
583,nan,2980,17092
584,nan,15351,31768
585,nan,5488,0
586,nan,2506,9390
587,nan,2213,8965
588,nan,6478,0
589,nan,3227,11065
590,nan,2863,9058
591,nan,5203,14712
592,nan,1663,8246
593,nan,7724,0
594,nan,9126,0
595,nan,7602,0
596,nan,5812,0
597,nan,2702,0
598,nan,5515,0
599,nan,6485,0
600,nan,4519,0
601,nan,2153,0
602,nan,2272,0
603,nan,6618,0
604,nan,6871,0
605,nan,3924,0
606,nan,2954,11548
607,nan,3652,13018
608,nan,5656,16198
609,nan,7726,22328
610,nan,32,256
611,nan,10411,0
612,nan,2198,8564
613,nan,3562,13256
614,nan,8536,0
615,nan,2042,8472
616,nan,4861,12334
617,nan,16628,0
618,nan,16628,36177
619,nan,2079,5511
620,nan,2813,10139
621,nan,2703,9469
622,nan,4284,12071
623,nan,27728,55683
624,nan,3323,11270
625,nan,6288,18139
626,nan,3942,0
627,nan,2697,11492
628,nan,12014,0
629,nan,3088,10686
630,nan,3895,10314
631,nan,5711,18910
632,nan,2187,10295
633,nan,3661,0
634,nan,1908,8926
635,nan,2786,11953
636,nan,10723,27597
637,nan,2763,9677
638,nan,9714,22350
639,nan,3812,11780
640,nan,3338,11001
641,nan,3301,9997
642,nan,6547,17063
643,nan,2310,7740
644,nan,3238,10478
645,nan,1984,6909
646,nan,2893,7214
647,nan,4551,14202
648,nan,4715,16063
649,nan,4964,12666
650,nan,1963,8209
651,nan,4998,15128
652,nan,2088,8029
653,nan,24514,0
654,nan,11271,0
655,nan,4432,0
656,nan,21156,37818
657,nan,3661,13129
658,nan,4797,14670
659,nan,2963,9841
660,nan,4858,0
661,nan,2483,11089
662,nan,5496,18601
663,nan,2704,0
664,nan,2203,9158
665,nan,8183,22473
666,nan,2167,8740
667,nan,3732,14081
668,nan,4190,0
669,nan,2704,10369
670,nan,4839,0
671,nan,4858,11673
672,nan,2080,8448
673,nan,2279,7620
674,nan,3942,13188
675,nan,2666,9615
676,nan,5747,0
677,nan,3014,10196
678,nan,3244,10875
679,nan,14409,30653
680,nan,12014,30658
681,nan,8407,0
682,nan,5990,16060
683,nan,2488,8100
684,nan,1510,6865
685,nan,3952,0
686,nan,1535,6867
687,nan,3540,9717
688,nan,3240,11416
689,nan,3300,12120
690,nan,2032,8726
691,nan,7798,0
692,nan,9327,29725
693,nan,2827,0
694,nan,7069,20296
695,nan,2996,11957
696,nan,3601,10497
697,nan,4072,12189
698,nan,3352,8930
699,nan,5571,17178
700,nan,179,1614
701,nan,8237,0
702,nan,3652,12696
703,nan,2130,7489
704,nan,2561,8735
705,nan,2334,10183
706,nan,1477,6800
707,nan,1911,8128
708,nan,5639,13491
709,nan,3712,11310
710,nan,2970,10039
711,nan,1491,6329
712,nan,9374,22513
713,nan,12953,33505
714,nan,12643,33689
715,nan,2269,8209
716,nan,3737,11650
717,nan,2608,9468
718,nan,6441,18908
719,nan,6533,0
720,nan,13616,32651
721,nan,2565,9112
